Номер,ФИО,Специальность,Стаж,Ссылка
65,Калимуллина Талия Ринатовна,"Хирург, Эндоскопист",стаж: 32 года
66,Семёнова Евгения Сергеевна,Гастроэнтеролог,стаж: 17 лет
67,Боголюбова Ирина Михайловна,"Акушер-гинеколог, Гинеколог",стаж: 48 лет
68,Залялова Чулпан Рафисовна,Терапевт,стаж: 19 лет
69,Мухаметзянова Наиля Абдулрауфовна,"Врач функциональной диагностики, Детский врач функциональной диагностики, Врач УЗИ",стаж: 44 года
70,Герейханова Майя Салимгереевна,Врач УЗИ,стаж: 27 лет
71,Гурьянова Элина Рифатовна,Терапевт,стаж: 10 лет
72,Гилязова Луиза Рашидовна,"Рентгенолог, Детский рентгенолог",стаж: 16 лет
73,Бикмухаметов Айрат Фидаилевич,Хирург,стаж: 29 лет
74,Шигапова Диляра Фаилевна,Эндокринолог,стаж: 21 год
75,Мухаметдинов Марат Фаритович,"Рентгенолог, Детский рентгенолог",стаж: 18 лет
76,Прокопенко Татьяна Владимировна,Рентгенолаборант,стаж: 34 года
77,Вырина Люция Наилевна,Терапевт,стаж: 31 год
78,Гар Виктория Владимировна,Терапевт,стаж: 7 лет
79,Латыпова Регина Дамировна,Стоматолог-терапевт,0
80,Лукичев Дмитрий Владимирович,Эндоскопист,стаж: 33 года
81,Аминова Замира Анваровна,"ЛОР, Детский ЛОР",стаж: 16 лет
82,Ахунова Замира Хикматуллаевна,Терапевт,стаж: 9 лет
83,Валеев Булат Радифович,"Врач функциональной диагностики, Детский врач функциональной диагностики, Нейрофизиолог",стаж: 6 лет
84,Хамидуллина Разиля Фаянилевна,Врач функциональной диагностики,0
85,Мисбахов Айдар Ришатович,Рентгенолог,стаж: 8 лет
86,Николаева Светлана Геннадьевна,Физиотерапевт,стаж: 35 лет
87,Кузнецова Елена Анатольевна,"Акушер-гинеколог, Гинеколог",стаж: 29 лет
88,Шакирова Раиса Флюровна,"Хирург, Эндоскопист",стаж: 46 лет
89,Данилова Екатерина Александровна,Рентгенолог,стаж: 11 лет
90,Нуртдинова Лилия Талгатовна,Рентгенолог,стаж: 31 год
91,Салахов Рашит Рафикович,"Хирург, Проктолог",стаж: 13 лет
92,Смирнова Наталья Владимировна,Рентгенолаборант,стаж: 31 год
93,Гиматдинова Ляйсан Ильшатовна,"Невролог, Рефлексотерапевт",стаж: 11 лет
94,Белянина Наталья Анатольевна,"Рентгенолог, Детский рентгенолог",стаж: 13 лет
95,Гильметдинова Альбина Магсутовна,Невролог,стаж: 12 лет
